"","ens.model.kmeans$cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"20",4,-0.352970580423155,-0.113409886556518,0.106822159332208,0.045129453658842,-0.0690691712276698,-0.0309484429109713,-0.0329009375103629,-0.00881455531943068,0.00300418634267861,0.188354828602317
"21",4,-0.336163130392573,-0.110981131468311,0.115704001969097,0.0151574566101353,-0.0724015236028575,-0.0147390640649765,-0.0241573612092763,-0.0051229611580578,0.0526426481962624,0.162768972025766
"22",4,-0.329034876260826,-0.104517049794483,0.114177455177154,-0.0186652167337517,-0.0785543973244749,-0.00717785387786026,-0.00540411454325282,-0.00437024297633123,0.0830605320245632,0.101769475121979
"23",4,-0.320001721134365,-0.101946501749977,0.109948123531918,-0.0496934457525004,-0.0681034181617305,-0.0161488503532578,0.013540444856087,0.00287643786054848,0.0955343054821104,0.0207824872628203
"24",4,-0.318307443249508,-0.0976171327487333,0.0961263722202886,-0.0783545544532285,-0.0597602237093886,-0.031304873246091,0.017793982409965,0.000809840847797399,0.0833208149524435,-0.0653337829540465
"25",4,-0.317868730850155,-0.107630189391165,0.0803053487608827,-0.095703397854587,-0.0400456971818014,-0.0461778250245244,0.00888479805308162,0.00999256232698673,0.0654795172194064,-0.133863637225052
"26",4,-0.306036599120294,-0.110052301806907,0.0713964042253228,-0.108841122683847,-0.00335031575787512,-0.0496080510674222,-0.0229232266259262,0.00368825309908384,0.0532179538020714,-0.172493458091853
"27",4,-0.299938211620133,-0.113273692631105,0.0542342737733056,-0.115076193824214,0.00512280332692753,-0.0232807311402513,-0.0547456425726962,1.9316601065693e-05,0.028682139582723,-0.171130825428777
"28",4,-0.293842649919814,-0.124822245378322,0.0352852210121769,-0.114817696038655,0.00444058345169963,0.0169589761964793,-0.0573746455873032,0.0166538569947862,0.00353171899721832,-0.130063653516686
"29",4,-0.290706669409434,-0.131991607487069,0.0149043184643653,-0.114394976976243,0.00468818506031283,0.0480988620474736,-0.0316588973073251,0.0378866802070612,-0.0211634763220642,-0.0624043691077694
"30",4,-0.286408532816238,-0.145854357948979,-0.00420918883635809,-0.107354984544747,0.0197532036219368,0.0526320265468641,0.00806228487973994,0.0691220653478353,-0.0464317642373935,0.0167769038556225
"31",4,-0.282016154940217,-0.163616814617167,-0.0211538467700841,-0.0919443886411257,0.0499973363191851,0.0324382050789814,0.0320683583159094,0.0910727535331043,-0.0677617579730715,0.0872041913993247
"32",4,-0.286169969708605,-0.156704501035102,-0.0427553985621906,-0.0820319744531028,0.0638548928271049,0.0137924194532594,0.01921276370954,0.0528802685628434,-0.0869928570887836,0.124183207549648
"33",4,-0.277275762842899,-0.1573008737975,-0.0551872283870638,-0.0636304549217898,0.0794807302179753,0.00910777422264937,-0.00722298297048852,0.0124045916312742,-0.0864685834192147,0.131118172390661
"34",4,-0.272344784641687,-0.169754037130987,-0.0698569138631901,-0.0372699788792863,0.0684891128589451,0.0258587585893083,-0.02441193163535,-0.0107407272603153,-0.0769400907510652,0.113022519911872
"35",4,-0.263550971301351,-0.154872847069545,-0.0800601942090953,-0.0251772733295368,0.0485960213081413,0.0516446326385934,-0.0269365444962798,-0.0626502555340405,-0.0508908651699238,0.0682549609687029
"36",4,-0.264203403495388,-0.141786343656341,-0.096110839931226,-0.016521539698486,0.0105930647305312,0.0711538421440513,0.00427171602951481,-0.0949811972089957,-0.0235891875518782,0.0148653798561881
"37",4,-0.266197692396826,-0.119356750991986,-0.111950287177249,-0.0158675965726799,-0.0195905012657809,0.060064248810884,0.0534078169073061,-0.11880109971688,0.00158635477913769,-0.0367402414585429
"38",4,-0.273559194820016,-0.0972717069755792,-0.13098454930389,-0.0167568442474826,-0.0412925964208687,0.0161639542593701,0.0944598656829513,-0.13184624735483,0.0159290263444556,-0.0760831571253717
"39",4,-0.271396617453391,-0.063023650784969,-0.142116843406526,-0.0211094367440798,-0.0379109114781328,-0.0465728355302684,0.0938786606180511,-0.159759114767673,0.0309997237713287,-0.100299159506757
"40",4,-0.26792349947965,-0.0491994803621411,-0.152171713997311,-0.0112087437799437,-0.0389702025832039,-0.0955209001133481,0.0583737500912896,-0.152508704444347,0.0399201233156476,-0.0965923681840491
"41",4,-0.286822001413029,-0.0315190020192243,-0.177638040766684,-0.00338135429566888,-0.0935205572984384,-0.105871622631895,0.013505760767565,-0.133841321370106,0.0237345783829307,-0.0724922864758583
"42",4,-0.294132406570263,-0.0146573792224088,-0.19205558937222,-0.00161588525867841,-0.13575337847945,-0.0995744816636825,-0.00875108948381644,-0.0959105719494068,0.0123477487535897,-0.0348051281899676
"43",4,-0.280004986296195,0.010980440042219,-0.186893285672072,-0.00580258116986763,-0.135080431859665,-0.094852486096195,-0.0179839868641269,-0.0484488029039745,0.0164085716676642,0.0095142606741581
"44",4,-0.284906468575573,0.0198466560761147,-0.192291460340902,-0.00216907433176296,-0.150386478864309,-0.0875972967634539,-0.0107301165178644,0.0365673159274252,0.00171003916057913,0.0563230224737511
"45",4,-0.290581331904921,0.0149682041837723,-0.191800716039115,0.00712752388941356,-0.138958549446366,-0.0955446327757134,0.00138323097027484,0.134599263391489,-0.0118825984414875,0.0914704092347577
"46",4,-0.296736482459974,0.0352743401870924,-0.185860780611136,0.00658720761881568,-0.109654409938005,-0.105859315236317,-0.0158401145957772,0.171881300489767,-0.0226477214998374,0.0964009691374296
"47",4,-0.293183106761152,0.0610415213322462,-0.170732959769403,0.00692527865731811,-0.0692755468845782,-0.0980250514262464,-0.0558832203507174,0.171604321608925,-0.026020088007808,0.0749212826830126
"48",4,-0.296309371596331,0.0912375864508326,-0.160782963427048,0.00539953324546285,-0.0596534771242973,-0.0554969236771373,-0.0925892253401994,0.140424119063473,-0.0381478308273851,0.0324651283924289
"49",1,-0.287648189505664,0.126867052637701,-0.142517582892201,-0.00100809609657421,-0.0453001519062544,0.00166425946703529,-0.0991067299388785,0.093894761167697,-0.0422383118564553,-0.0183941277920218
"50",1,-0.271165979533624,0.153512843369262,-0.117420970947508,-0.00341654301283426,-0.0154655356168184,0.0493358112345013,-0.0713336354993848,0.0620878724259649,-0.0368786967820704,-0.0587021691608784
"51",1,-0.27055537402243,0.199116359341077,-0.104584435029008,-0.0142787961886782,-0.00702509041974405,0.0799860090922112,-0.0286511304409451,0.00674115924150046,-0.0462508711446307,-0.0863569838877822
"52",1,-0.285285226678237,0.223321536769254,-0.103776979039154,-0.0167082144940824,-0.00914742700941399,0.0789850401570448,0.0319757302749159,-0.0203652059964626,-0.0684689366674808,-0.0897445393337451
"53",1,-0.287372645050842,0.242671767093147,-0.0924195187332583,-0.0134126097033779,0.0284743246195415,0.0370377164516411,0.0691405063642328,-0.0450377128246645,-0.0741978466096893,-0.0711414704689146
"54",1,-0.302209362462077,0.241917432919191,-0.0889612911822072,0.00593402036121422,0.0506930132466301,-0.0100739818207641,0.064735349280405,-0.0519924475985621,-0.0784368268954944,-0.0315613543055901
"55",1,-0.308702327393541,0.225879417153372,-0.0774157811232625,0.0371558327513001,0.0729508057071035,-0.0410600525026316,0.024360254978482,-0.0472445628384333,-0.0617456601319971,0.0187676218058502
"56",4,-0.316701404290679,0.20753882011933,-0.0638776219757349,0.0705282397438431,0.0689600911577252,-0.0339701514844936,-0.028931060483483,-0.0397781910042495,-0.0286414857321118,0.067521785624177
"57",4,-0.32145109830474,0.18996455889366,-0.0451198550679284,0.0985115882164632,0.0466769378445033,0.00388029095151644,-0.0586507061579816,-0.0231769863654601,0.0176406482149709,0.104171521490775
"58",4,-0.334040180907313,0.18406312178845,-0.0304019761638503,0.110784654630837,-9.38212090697069e-05,0.0496699437064061,-0.0439246486873827,-0.00803020349370087,0.0531914484248072,0.116769974410035
